Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Rating
FD4522,15.981,Regular,0.090884,Breads,126.84,OUT019,1985,Small,Tier 1,Grocery Store,77.25,5.0
FD4426,13.391,LF,0.177119,Starchy Foods,163.52,OUT010,1998,Small,Tier 3,Grocery Store,546.2,3.8
DR9778,19.816,Regular,0.139845,Dairy,158.61,OUT019,1985,Small,Tier 1,Grocery Store,214.71,4.4
NC7915,19.905,Non-Edible,0.066428,Canned,247.17,OUT046,1997,Small,Tier 1,Supermarket Type1,2237.39,4.9
FD3473,14.792,low fat,0.097088,Canned,107.98,OUT013,1987,High,Tier 3,Supermarket Type1,1703.89,3.1
FD5766,12.327,reg,0.0,Starchy Foods,207.27,OUT018,2009,Medium,Tier 3,Supermarket Type2,1432.8,4.9
FD9425,9.616,reg,0.009395,Frozen Foods,265.19,OUT046,1997,Small,Tier 1,Supermarket Type1,4105.06,4.5
DR3833,,LF,0.020307,Dairy,247.16,OUT019,1985,Small,Tier 1,Grocery Store,541.74,2.4
FD1598,16.101,reg,0.042531,Dairy,108.09,OUT049,1999,Medium,Tier 1,Supermarket Type1,1729.91,3.1
NC7436,5.185,Non-Edible,0.02406,Seafood,85.35,OUT027,1985,Medium,Tier 3,Supermarket Type3,129.17,4.8
NC2098,15.813,Non-Edible,0.169607,Snack Foods,221.95,OUT035,2004,Small,Tier 2,Supermarket Type1,3585.59,4.5
FD5483,21.196,Regular,0.055059,Household,224.4,OUT035,2004,Small,Tier 2,Supermarket Type1,2601.59,4.1
NC8772,19.384,Non-Edible,0.074141,Fruits and Vegetables,191.22,OUT046,1997,Small,Tier 1,Supermarket Type1,337.7,4.4
NC9482,12.641,Non-Edible,0.180995,Meat,55.82,OUT049,1999,Medium,Tier 1,Supermarket Type1,360.14,4.6
FD9335,,low fat,0.013082,Canned,229.53,OUT046,1997,Small,Tier 1,Supermarket Type1,1798.63,4.9
FD3715,11.986,Regular,0.0588,Frozen Foods,161.98,OUT010,1998,Small,Tier 3,Grocery Store,434.84,4.2
NC3163,13.239,Non-Edible,0.17611,Soft Drinks,99.58,OUT035,2004,Small,Tier 2,Supermarket Type1,445.32,4.3
NC9812,8.832,Non-Edible,0.173762,Snack Foods,140.04,OUT035,2004,Small,Tier 2,Supermarket Type1,2488.33,4.9
DR4897,20.596,Low Fat,0.12722,Baking Goods,40.52,OUT027,1985,Medium,Tier 3,Supermarket Type3,441.5,4.9
DR2775,13.3,reg,0.083458,Frozen Foods,134.56,OUT045,2002,,Tier 2,Supermarket Type1,369.37,2.9
FD3554,9.061,reg,0.0,Health and Hygiene,41.71,OUT017,2007,,Tier 2,Supermarket Type1,823.85,3.4
NC2080,4.984,Non-Edible,0.044881,Frozen Foods,225.68,OUT017,2007,,Tier 2,Supermarket Type1,2903.01,4.2
DR8870,14.234,LF,0.048291,Fruits and Vegetables,140.46,OUT045,2002,,Tier 2,Supermarket Type1,1613.01,4.8
NC3497,7.355,Non-Edible,0.16279,Baking Goods,54.84,OUT049,1999,Medium,Tier 1,Supermarket Type1,226.1,3.6
FD4988,15.123,Low Fat,0.024536,Hard Drinks,116.77,OUT010,1998,Small,Tier 3,Grocery Store,237.93,4.2
DR2355,,Regular,0.075016,Fruits and Vegetables,240.91,OUT010,1998,Small,Tier 3,Grocery Store,580.04,1.6
DR4386,,LF,0.03561,Breakfast,94.76,OUT027,1985,Medium,Tier 3,Supermarket Type3,1410.58,4.9
FD8440,5.577,LF,0.105364,Soft Drinks,140.26,OUT045,2002,,Tier 2,Supermarket Type1,1335.82,4.6
FD2842,4.941,Regular,0.009087,Breakfast,40.35,OUT019,1985,Small,Tier 1,Grocery Store,8.13,4.9
DR7038,8.679,reg,0.091914,Household,51.03,OUT027,1985,Medium,Tier 3,Supermarket Type3,673.68,4.9
DR1739,12.18,low fat,0.101514,Starchy Foods,224.8,OUT019,1985,Small,Tier 1,Grocery Store,203.2,4.3
NC9360,7.66,Non-Edible,0.180527,Soft Drinks,131.58,OUT027,1985,Medium,Tier 3,Supermarket Type3,1715.11,4.0
NC4235,9.959,Non-Edible,0.059781,Soft Drinks,240.39,OUT017,2007,,Tier 2,Supermarket Type1,3617.47,3.5
FD6427,5.809,low fat,0.167476,Household,122.5,OUT046,1997,Small,Tier 1,Supermarket Type1,1291.57,4.4
FD2417,,LF,0.066541,Breakfast,96.55,OUT010,1998,Small,Tier 3,Grocery Store,54.06,4.8
NC6263,20.876,Non-Edible,0.086314,Canned,244.69,OUT027,1985,Medium,Tier 3,Supermarket Type3,1475.62,4.7
DR7254,15.406,low fat,0.054002,Hard Drinks,192.96,OUT035,2004,Small,Tier 2,Supermarket Type1,1206.36,3.8
NC8017,11.999,Non-Edible,0.147674,Baking Goods,184.2,OUT045,2002,,Tier 2,Supermarket Type1,1890.63,4.8
NC7395,10.955,Non-Edible,0.025904,Household,139.08,OUT010,1998,Small,Tier 3,Grocery Store,38.29,4.9
NC8275,11.131,Non-Edible,0.126737,Health and Hygiene,187.28,OUT019,1985,Small,Tier 1,Grocery Store,561.1,4.4
NC9048,16.68,Non-Edible,0.127031,Hard Drinks,228.35,OUT018,2009,Medium,Tier 3,Supermarket Type2,2521.8,4.9
FD8234,9.95,LF,0.061594,Dairy,202.95,OUT035,2004,Small,Tier 2,Supermarket Type1,3001.33,5.0
NC9923,20.832,Non-Edible,0.080987,Breakfast,162.24,OUT035,2004,Small,Tier 2,Supermarket Type1,940.98,3.8
DR5575,20.696,low fat,0.179327,Meat,200.27,OUT027,1985,Medium,Tier 3,Supermarket Type3,690.45,3.2
FD9857,10.609,Low Fat,0.145768,Breads,144.87,OUT010,1998,Small,Tier 3,Grocery Store,222.55,5.0
FD8525,,reg,0.111028,Breads,129.87,OUT045,2002,,Tier 2,Supermarket Type1,1808.26,4.5
DR3241,7.559,Low Fat,0.072316,Hard Drinks,247.79,OUT019,1985,Small,Tier 1,Grocery Store,330.54,4.2
FD6530,,reg,0.033443,Canned,37.14,OUT046,1997,Small,Tier 1,Supermarket Type1,150.24,4.5
FD3459,14.588,low fat,0.082682,Meat,72.57,OUT046,1997,Small,Tier 1,Supermarket Type1,312.13,3.9
NC8681,18.12,Non-Edible,0.0,Canned,32.7,OUT013,1987,High,Tier 3,Supermarket Type1,520.93,4.5
NC8740,7.89,Non-Edible,0.0,Frozen Foods,176.74,OUT049,1999,Medium,Tier 1,Supermarket Type1,1087.8,4.5
NC4877,7.026,Non-Edible,0.082325,Household,256.42,OUT013,1987,High,Tier 3,Supermarket Type1,241.83,3.7
NC6184,9.242,Non-Edible,0.066226,Frozen Foods,175.0,OUT027,1985,Medium,Tier 3,Supermarket Type3,3248.39,4.0
FD7859,21.078,reg,0.099714,Meat,50.8,OUT045,2002,,Tier 2,Supermarket Type1,328.47,3.9
DR2027,7.052,LF,0.17259,Breads,237.08,OUT027,1985,Medium,Tier 3,Supermarket Type3,5784.01,4.4
DR4017,19.673,low fat,0.080762,Snack Foods,47.24,OUT017,2007,,Tier 2,Supermarket Type1,296.03,3.0
DR2778,6.544,reg,0.088509,Health and Hygiene,209.9,OUT017,2007,,Tier 2,Supermarket Type1,1605.93,3.0
NC1284,18.223,Non-Edible,0.062979,Soft Drinks,43.16,OUT013,1987,High,Tier 3,Supermarket Type1,620.17,4.1
NC5021,16.851,Non-Edible,0.184091,Health and Hygiene,217.55,OUT049,1999,Medium,Tier 1,Supermarket Type1,2579.82,5.0
DR8689,19.703,LF,0.077467,Hard Drinks,161.64,OUT027,1985,Medium,Tier 3,Supermarket Type3,3823.75,3.2
DR1611,8.235,Regular,0.100972,Baking Goods,170.15,OUT046,1997,Small,Tier 1,Supermarket Type1,1257.24,4.0
FD2935,17.45,reg,0.119993,Seafood,234.44,OUT017,2007,,Tier 2,Supermarket Type1,480.86,4.1
FD3377,17.147,low fat,0.168114,Soft Drinks,236.7,OUT049,1999,Medium,Tier 1,Supermarket Type1,4111.6,4.3
NC5687,7.986,Non-Edible,0.096021,Breads,83.81,OUT027,1985,Medium,Tier 3,Supermarket Type3,1876.39,2.9
FD2960,,LF,0.108369,Fruits and Vegetables,181.53,OUT045,2002,,Tier 2,Supermarket Type1,2136.6,4.6
DR1856,20.506,low fat,0.115673,Health and Hygiene,46.62,OUT049,1999,Medium,Tier 1,Supermarket Type1,527.29,4.6
NC9875,12.104,Non-Edible,0.118002,Breakfast,224.86,OUT017,2007,,Tier 2,Supermarket Type1,2447.48,3.8
FD3510,11.41,Regular,0.14916,Dairy,230.68,OUT019,1985,Small,Tier 1,Grocery Store,731.02,2.5
NC6636,19.461,Non-Edible,0.084405,Breads,198.89,OUT010,1998,Small,Tier 3,Grocery Store,619.78,4.9
FD8873,18.374,Low Fat,0.125877,Soft Drinks,117.61,OUT019,1985,Small,Tier 1,Grocery Store,250.03,4.2
FD4584,9.051,reg,0.102043,Snack Foods,90.16,OUT010,1998,Small,Tier 3,Grocery Store,152.52,3.0
DR6632,7.338,Regular,0.064634,Hard Drinks,63.91,OUT018,2009,Medium,Tier 3,Supermarket Type2,571.41,3.8
NC4951,12.683,Non-Edible,0.015699,Baking Goods,211.63,OUT035,2004,Small,Tier 2,Supermarket Type1,2817.19,4.8
FD6991,15.483,LF,0.020804,Starchy Foods,155.34,OUT017,2007,,Tier 2,Supermarket Type1,1112.16,2.3
NC4072,11.749,Non-Edible,0.176284,Frozen Foods,186.27,OUT049,1999,Medium,Tier 1,Supermarket Type1,1650.2,4.6
NC2054,15.613,Non-Edible,0.137964,Starchy Foods,34.47,OUT013,1987,High,Tier 3,Supermarket Type1,476.58,4.4
FD6358,13.006,reg,0.083033,Fruits and Vegetables,130.71,OUT046,1997,Small,Tier 1,Supermarket Type1,559.17,4.9
NC4062,9.528,Non-Edible,0.124576,Meat,249.3,OUT013,1987,High,Tier 3,Supermarket Type1,4339.63,3.2
FD8974,6.516,Regular,0.06312,Soft Drinks,103.11,OUT046,1997,Small,Tier 1,Supermarket Type1,331.35,4.7
DR9619,16.698,Low Fat,0.117132,Fruits and Vegetables,176.52,OUT019,1985,Small,Tier 1,Grocery Store,248.74,4.1
FD9635,12.633,low fat,0.138585,Baking Goods,263.43,OUT046,1997,Small,Tier 1,Supermarket Type1,3440.22,3.6
DR9912,9.143,reg,0.162438,Baking Goods,93.89,OUT018,2009,Medium,Tier 3,Supermarket Type2,1209.96,4.4
DR3255,9.281,reg,0.036309,Snack Foods,85.52,OUT045,2002,,Tier 2,Supermarket Type1,1353.18,4.1
DR1079,,low fat,0.048102,Health and Hygiene,217.88,OUT013,1987,High,Tier 3,Supermarket Type1,944.11,4.4
FD7699,11.296,reg,0.052843,Dairy,81.71,OUT017,2007,,Tier 2,Supermarket Type1,590.05,3.7
NC8414,16.299,Non-Edible,0.097802,Dairy,45.44,OUT046,1997,Small,Tier 1,Supermarket Type1,338.27,4.2
FD8142,5.269,LF,0.007468,Frozen Foods,204.43,OUT027,1985,Medium,Tier 3,Supermarket Type3,1707.69,4.6
DR7035,17.519,reg,0.167817,Breads,52.3,OUT010,1998,Small,Tier 3,Grocery Store,27.79,4.1
NC7038,8.342,Non-Edible,0.122291,Household,243.22,OUT049,1999,Medium,Tier 1,Supermarket Type1,2459.71,4.5
NC4753,11.605,Non-Edible,0.187492,Breakfast,117.25,OUT018,2009,Medium,Tier 3,Supermarket Type2,123.38,4.2
FD8626,,reg,0.174159,Seafood,45.78,OUT027,1985,Medium,Tier 3,Supermarket Type3,842.5,4.0
NC2750,6.888,Non-Edible,0.124577,Starchy Foods,144.01,OUT013,1987,High,Tier 3,Supermarket Type1,833.6,1.1
FD5985,15.136,low fat,0.178189,Dairy,92.98,OUT035,2004,Small,Tier 2,Supermarket Type1,654.58,4.5
NC7395,10.955,Non-Edible,0.115504,Household,139.08,OUT027,1985,Medium,Tier 3,Supermarket Type3,906.98,3.2
DR6414,20.938,low fat,0.073859,Seafood,135.16,OUT017,2007,,Tier 2,Supermarket Type1,1660.42,4.3
FD6731,18.612,Regular,0.075713,Health and Hygiene,242.13,OUT013,1987,High,Tier 3,Supermarket Type1,472.4,4.3
DR8637,11.072,low fat,0.133796,Starchy Foods,245.71,OUT027,1985,Medium,Tier 3,Supermarket Type3,885.66,4.6
FD2039,,Low Fat,0.151435,Starchy Foods,53.65,OUT049,1999,Medium,Tier 1,Supermarket Type1,518.64,3.2
DR2312,,reg,0.139262,Starchy Foods,169.08,OUT046,1997,Small,Tier 1,Supermarket Type1,813.58,4.0
FD9265,,low fat,0.03718,Baking Goods,242.34,OUT010,1998,Small,Tier 3,Grocery Store,60.41,4.6
DR8633,9.945,reg,0.006703,Soft Drinks,111.97,OUT045,2002,,Tier 2,Supermarket Type1,225.79,4.5
FD5053,11.628,Regular,0.032793,Breakfast,40.15,OUT010,1998,Small,Tier 3,Grocery Store,122.95,3.9
NC6373,14.784,Non-Edible,0.184173,Starchy Foods,186.86,OUT017,2007,,Tier 2,Supermarket Type1,1723.94,4.9
DR6020,5.631,reg,0.018182,Breakfast,133.59,OUT017,2007,,Tier 2,Supermarket Type1,2039.91,4.2
FD7792,11.59,reg,0.010466,Dairy,125.25,OUT019,1985,Small,Tier 1,Grocery Store,142.6,1.4
FD3135,8.299,reg,0.034067,Fruits and Vegetables,176.08,OUT049,1999,Medium,Tier 1,Supermarket Type1,1521.16,4.1
FD6630,11.201,Low Fat,0.021851,Household,90.96,OUT035,2004,Small,Tier 2,Supermarket Type1,1527.87,3.6
FD2972,14.508,reg,0.0,Breakfast,164.7,OUT027,1985,Medium,Tier 3,Supermarket Type3,2545.85,4.4
FD6752,5.147,LF,0.111786,Health and Hygiene,209.23,OUT013,1987,High,Tier 3,Supermarket Type1,1540.05,3.5
NC6749,10.908,Non-Edible,0.031695,Starchy Foods,206.57,OUT010,1998,Small,Tier 3,Grocery Store,544.14,3.2
DR7078,,low fat,0.161071,Dairy,141.56,OUT013,1987,High,Tier 3,Supermarket Type1,780.2,4.1
FD7194,8.583,reg,0.090405,Fruits and Vegetables,242.5,OUT010,1998,Small,Tier 3,Grocery Store,675.11,4.4
NC8487,6.462,Non-Edible,0.052178,Household,97.09,OUT049,1999,Medium,Tier 1,Supermarket Type1,1325.2,4.8
FD1786,8.93,Regular,0.008923,Soft Drinks,49.79,OUT049,1999,Medium,Tier 1,Supermarket Type1,441.36,2.1
DR5331,20.028,LF,0.017692,Starchy Foods,198.16,OUT046,1997,Small,Tier 1,Supermarket Type1,2227.24,4.8
FD3683,4.954,Regular,0.030198,Breakfast,266.82,OUT049,1999,Medium,Tier 1,Supermarket Type1,3358.02,4.5
DR1757,,LF,0.152443,Soft Drinks,44.64,OUT017,2007,,Tier 2,Supermarket Type1,468.06,4.3
NC1713,20.644,Non-Edible,0.075118,Fruits and Vegetables,46.62,OUT019,1985,Small,Tier 1,Grocery Store,79.03,4.0
DR3987,6.984,Regular,0.026112,Breads,99.11,OUT010,1998,Small,Tier 3,Grocery Store,379.35,4.4
NC8314,9.266,Non-Edible,0.126864,Household,103.9,OUT017,2007,,Tier 2,Supermarket Type1,1478.85,4.4
FD6427,5.809,low fat,0.062548,Household,122.5,OUT045,2002,,Tier 2,Supermarket Type1,671.03,4.3
DR2451,18.495,LF,0.158654,Dairy,240.25,OUT049,1999,Medium,Tier 1,Supermarket Type1,2531.34,4.6
NC4426,19.198,Non-Edible,0.08282,Snack Foods,240.62,OUT035,2004,Small,Tier 2,Supermarket Type1,1758.84,3.1
DR6381,13.196,LF,0.023112,Fruits and Vegetables,99.55,OUT019,1985,Small,Tier 1,Grocery Store,20.88,2.9
FD2314,5.607,LF,0.04952,Soft Drinks,219.6,OUT013,1987,High,Tier 3,Supermarket Type1,1543.67,4.0
NC7380,18.593,Non-Edible,0.0,Health and Hygiene,82.48,OUT046,1997,Small,Tier 1,Supermarket Type1,450.45,3.3
DR6566,10.805,Low Fat,0.097977,Breakfast,146.41,OUT010,1998,Small,Tier 3,Grocery Store,166.39,4.5
FD4460,16.635,low fat,0.165312,Breads,158.08,OUT027,1985,Medium,Tier 3,Supermarket Type3,1803.66,4.0
DR6627,15.17,reg,0.035887,Snack Foods,231.3,OUT049,1999,Medium,Tier 1,Supermarket Type1,3405.95,4.4
NC5137,5.685,Non-Edible,0.069272,Health and Hygiene,95.65,OUT035,2004,Small,Tier 2,Supermarket Type1,694.38,4.8
NC2987,5.733,Non-Edible,0.154535,Dairy,61.87,OUT035,2004,Small,Tier 2,Supermarket Type1,878.66,4.1
NC3854,12.446,Non-Edible,0.133249,Hard Drinks,217.46,OUT010,1998,Small,Tier 3,Grocery Store,557.65,4.9
NC5436,10.611,Non-Edible,0.046898,Meat,163.22,OUT018,2009,Medium,Tier 3,Supermarket Type2,1121.06,3.5
NC8414,16.299,Non-Edible,0.0,Dairy,45.44,OUT027,1985,Medium,Tier 3,Supermarket Type3,87.84,3.1
DR6566,,Low Fat,0.157445,Breakfast,146.41,OUT017,2007,,Tier 2,Supermarket Type1,1562.16,3.2
NC4068,15.505,Non-Edible,0.07438,Baking Goods,82.96,OUT035,2004,Small,Tier 2,Supermarket Type1,438.13,3.3
FD8036,9.819,Low Fat,0.042377,Starchy Foods,82.88,OUT018,2009,Medium,Tier 3,Supermarket Type2,153.82,3.3
DR6927,15.871,Regular,0.081981,Snack Foods,63.84,OUT013,1987,High,Tier 3,Supermarket Type1,625.36,3.5
FD7111,,LF,0.18347,Canned,153.67,OUT018,2009,Medium,Tier 3,Supermarket Type2,569.03,4.5
DR4525,5.557,Regular,0.031001,Hard Drinks,157.13,OUT035,2004,Small,Tier 2,Supermarket Type1,1876.01,4.3
FD1860,7.387,low fat,0.15129,Baking Goods,258.75,OUT049,1999,Medium,Tier 1,Supermarket Type1,2892.78,3.5
NC9111,21.143,Non-Edible,0.034056,Frozen Foods,141.46,OUT049,1999,Medium,Tier 1,Supermarket Type1,472.36,3.7
NC7726,6.93,Non-Edible,0.023533,Meat,49.82,OUT018,2009,Medium,Tier 3,Supermarket Type2,651.12,2.3
FD7840,,Regular,0.126412,Household,262.58,OUT046,1997,Small,Tier 1,Supermarket Type1,1380.1,3.3
DR6470,18.886,Regular,0.183294,Soft Drinks,72.52,OUT027,1985,Medium,Tier 3,Supermarket Type3,1694.27,3.8
FD3554,9.061,reg,0.18598,Health and Hygiene,41.71,OUT035,2004,Small,Tier 2,Supermarket Type1,415.55,4.4
DR8276,,reg,0.107402,Breakfast,68.5,OUT018,2009,Medium,Tier 3,Supermarket Type2,809.21,4.4
DR9826,13.058,low fat,0.090344,Baking Goods,258.79,OUT017,2007,,Tier 2,Supermarket Type1,585.87,3.3
FD4380,5.738,Low Fat,0.1316,Fruits and Vegetables,247.65,OUT013,1987,High,Tier 3,Supermarket Type1,2466.67,3.1
NC6458,16.333,Non-Edible,0.168761,Household,213.44,OUT045,2002,,Tier 2,Supermarket Type1,2950.21,5.0
DR4351,5.062,Regular,0.158822,Household,159.05,OUT045,2002,,Tier 2,Supermarket Type1,1167.26,4.1
DR2215,5.366,Low Fat,0.128304,Household,61.86,OUT017,2007,,Tier 2,Supermarket Type1,271.84,3.8
DR9830,,reg,0.098874,Starchy Foods,140.57,OUT035,2004,Small,Tier 2,Supermarket Type1,2045.95,4.8
NC9682,19.583,Non-Edible,0.0,Breakfast,33.99,OUT046,1997,Small,Tier 1,Supermarket Type1,469.49,3.3
NC4820,6.142,Non-Edible,0.058582,Frozen Foods,117.19,OUT049,1999,Medium,Tier 1,Supermarket Type1,267.3,4.1
NC2618,16.629,Non-Edible,0.180829,Breakfast,247.84,OUT049,1999,Medium,Tier 1,Supermarket Type1,1761.7,4.6
DR9898,16.297,LF,0.093163,Baking Goods,96.36,OUT019,1985,Small,Tier 1,Grocery Store,290.85,4.7
NC7749,7.053,Non-Edible,0.075816,Seafood,43.58,OUT017,2007,,Tier 2,Supermarket Type1,316.14,4.8
DR8221,14.305,low fat,0.059521,Starchy Foods,82.06,OUT035,2004,Small,Tier 2,Supermarket Type1,175.63,2.5
NC9933,10.543,Non-Edible,0.030521,Household,43.16,OUT010,1998,Small,Tier 3,Grocery Store,86.0,3.0
NC8556,18.179,Non-Edible,0.164999,Baking Goods,36.37,OUT046,1997,Small,Tier 1,Supermarket Type1,67.8,4.3
NC6897,18.084,Non-Edible,0.1097,Canned,145.39,OUT019,1985,Small,Tier 1,Grocery Store,108.23,4.6
NC9125,5.543,Non-Edible,0.0,Hard Drinks,108.1,OUT010,1998,Small,Tier 3,Grocery Store,254.22,3.8
DR8022,15.56,low fat,0.10454,Fruits and Vegetables,144.11,OUT019,1985,Small,Tier 1,Grocery Store,272.07,3.4
NC6438,7.029,Non-Edible,0.031722,Household,230.69,OUT027,1985,Medium,Tier 3,Supermarket Type3,5436.21,4.5
FD7486,,Low Fat,0.073737,Hard Drinks,239.79,OUT027,1985,Medium,Tier 3,Supermarket Type3,1825.43,3.8
FD6575,6.779,Low Fat,0.02715,Frozen Foods,54.68,OUT018,2009,Medium,Tier 3,Supermarket Type2,697.75,4.4
NC2764,12.264,Non-Edible,0.052062,Baking Goods,187.73,OUT013,1987,High,Tier 3,Supermarket Type1,443.84,4.1
NC5661,18.522,Non-Edible,0.017796,Health and Hygiene,197.25,OUT035,2004,Small,Tier 2,Supermarket Type1,3543.1,3.0
DR1312,4.973,low fat,0.076648,Breakfast,169.47,OUT013,1987,High,Tier 3,Supermarket Type1,1949.33,4.1
FD9466,18.967,low fat,0.094006,Starchy Foods,232.24,OUT045,2002,,Tier 2,Supermarket Type1,487.52,4.8
NC7552,17.275,Non-Edible,0.152454,Meat,219.07,OUT035,2004,Small,Tier 2,Supermarket Type1,242.88,4.5
NC6846,8.78,Non-Edible,0.106306,Canned,190.05,OUT045,2002,,Tier 2,Supermarket Type1,378.59,4.2
NC9781,16.896,Non-Edible,0.116973,Meat,135.73,OUT013,1987,High,Tier 3,Supermarket Type1,950.88,4.6
FD8841,7.895,low fat,0.103661,Meat,89.22,OUT046,1997,Small,Tier 1,Supermarket Type1,582.06,4.5
NC2069,15.871,Non-Edible,0.078205,Breakfast,207.42,OUT010,1998,Small,Tier 3,Grocery Store,507.31,3.1
DR4525,5.557,Regular,0.035782,Hard Drinks,157.13,OUT013,1987,High,Tier 3,Supermarket Type1,1400.21,4.5
DR2575,20.481,Low Fat,0.070273,Fruits and Vegetables,225.3,OUT010,1998,Small,Tier 3,Grocery Store,320.38,4.5
DR5337,7.97,Regular,0.080549,Fruits and Vegetables,105.36,OUT017,2007,,Tier 2,Supermarket Type1,405.48,4.1
DR5431,8.892,reg,0.0981,Canned,65.53,OUT027,1985,Medium,Tier 3,Supermarket Type3,916.83,4.6
DR6440,,Regular,0.180161,Snack Foods,77.46,OUT018,2009,Medium,Tier 3,Supermarket Type2,130.95,4.4
NC7229,11.911,Non-Edible,0.095766,Meat,131.26,OUT017,2007,,Tier 2,Supermarket Type1,887.38,4.3
DR2775,13.3,reg,0.095729,Frozen Foods,134.56,OUT049,1999,Medium,Tier 1,Supermarket Type1,1185.27,4.7
FD4686,18.103,Regular,0.09895,Hard Drinks,191.6,OUT010,1998,Small,Tier 3,Grocery Store,219.59,4.1
NC4690,8.039,Non-Edible,0.128381,Dairy,192.73,OUT049,1999,Medium,Tier 1,Supermarket Type1,2454.4,4.9
DR4626,11.69,LF,0.112338,Soft Drinks,115.41,OUT018,2009,Medium,Tier 3,Supermarket Type2,476.48,4.7
NC8469,6.176,Non-Edible,0.098034,Dairy,224.0,OUT019,1985,Small,Tier 1,Grocery Store,41.69,4.7
FD8075,12.85,low fat,0.186644,Household,137.24,OUT045,2002,,Tier 2,Supermarket Type1,907.01,3.6
NC1243,10.142,Non-Edible,0.0,Frozen Foods,259.11,OUT027,1985,Medium,Tier 3,Supermarket Type3,4510.15,1.4
FD6497,14.632,Low Fat,0.055751,Breakfast,134.18,OUT019,1985,Small,Tier 1,Grocery Store,58.58,4.7
FD8835,19.83,Regular,0.173423,Soft Drinks,72.4,OUT019,1985,Small,Tier 1,Grocery Store,76.74,4.1
FD4292,18.579,Regular,0.172369,Meat,236.65,OUT035,2004,Small,Tier 2,Supermarket Type1,1098.17,4.8
FD4034,6.244,Low Fat,0.055789,Dairy,136.29,OUT049,1999,Medium,Tier 1,Supermarket Type1,1704.19,3.9
DR5260,18.675,Regular,0.17641,Meat,263.61,OUT019,1985,Small,Tier 1,Grocery Store,855.97,4.6
FD2635,7.147,Regular,0.150251,Dairy,134.09,OUT019,1985,Small,Tier 1,Grocery Store,278.36,4.9
NC9151,18.217,Non-Edible,0.0,Starchy Foods,100.03,OUT013,1987,High,Tier 3,Supermarket Type1,954.81,4.2
FD8844,20.341,Regular,0.0,Starchy Foods,57.67,OUT017,2007,,Tier 2,Supermarket Type1,827.75,4.2
NC7641,8.691,Non-Edible,0.023256,Starchy Foods,174.55,OUT010,1998,Small,Tier 3,Grocery Store,674.71,4.3
DR1312,,low fat,0.142303,Breakfast,169.47,OUT045,2002,,Tier 2,Supermarket Type1,1947.23,4.6
FD2575,9.941,low fat,0.0,Fruits and Vegetables,54.68,OUT035,2004,Small,Tier 2,Supermarket Type1,939.74,1.3
FD1977,9.639,LF,0.012037,Snack Foods,228.52,OUT017,2007,,Tier 2,Supermarket Type1,2379.28,3.7
FD6384,8.09,reg,0.083408,Baking Goods,174.35,OUT013,1987,High,Tier 3,Supermarket Type1,2409.91,4.5
FD8480,20.098,Regular,0.026131,Soft Drinks,78.3,OUT027,1985,Medium,Tier 3,Supermarket Type3,1567.39,4.2
DR6293,9.774,LF,0.068776,Hard Drinks,31.94,OUT010,1998,Small,Tier 3,Grocery Store,22.98,4.2
NC3878,8.969,Non-Edible,0.109451,Seafood,148.21,OUT017,2007,,Tier 2,Supermarket Type1,1636.79,4.4
DR9320,14.988,Regular,0.183063,Meat,260.99,OUT045,2002,,Tier 2,Supermarket Type1,1155.31,4.0
NC5959,13.429,Non-Edible,0.071756,Starchy Foods,259.24,OUT046,1997,Small,Tier 1,Supermarket Type1,2993.19,5.0
DR5581,8.251,LF,0.173143,Hard Drinks,98.4,OUT045,2002,,Tier 2,Supermarket Type1,1169.69,4.2
DR2778,6.544,reg,0.093041,Health and Hygiene,209.9,OUT046,1997,Small,Tier 1,Supermarket Type1,1443.98,1.0
NC1158,7.987,Non-Edible,0.024993,Frozen Foods,176.96,OUT010,1998,Small,Tier 3,Grocery Store,395.77,4.5
NC4688,9.764,Non-Edible,0.099397,Starchy Foods,65.72,OUT035,2004,Small,Tier 2,Supermarket Type1,748.38,3.2
FD6660,11.145,Low Fat,0.010554,Soft Drinks,136.32,OUT049,1999,Medium,Tier 1,Supermarket Type1,1682.4,3.4
FD4695,14.47,Low Fat,0.150015,Seafood,197.81,OUT010,1998,Small,Tier 3,Grocery Store,695.0,4.2
FD1317,17.897,low fat,0.097345,Hard Drinks,175.35,OUT017,2007,,Tier 2,Supermarket Type1,1356.67,3.7
DR3811,,LF,0.045395,Household,217.57,OUT019,1985,Small,Tier 1,Grocery Store,350.9,4.5
DR5343,9.519,Regular,0.174628,Household,37.99,OUT017,2007,,Tier 2,Supermarket Type1,290.62,3.8
DR4851,4.783,Regular,0.026363,Meat,108.4,OUT018,2009,Medium,Tier 3,Supermarket Type2,1095.34,4.4
DR9825,20.601,LF,0.077688,Starchy Foods,150.68,OUT035,2004,Small,Tier 2,Supermarket Type1,2266.68,4.7
FD2464,7.508,reg,0.187052,Household,55.93,OUT027,1985,Medium,Tier 3,Supermarket Type3,99.24,4.1
NC7792,17.43,Non-Edible,0.092959,Dairy,40.27,OUT013,1987,High,Tier 3,Supermarket Type1,197.96,4.9
